customer_id,first_name,last_name,email,phone,address,city,state,country,zip_code,registration_date,customer_segment,acquisition_channel
C000001,Kristi,Barnett,ccampbell@example.net,261-947-1302,"USNS Miller, FPO AP 60199",East Warrenview,Illinois,Palestinian Territory,19823,2025-03-24,Basic,Organic
C000002,Angela,Roberts,grimesterri@example.org,7342725516,"40829 Carson Shore Suite 740, East Ashley, MT 29010",Goodwinshire,Texas,United States Virgin Islands,86891,2024-06-26,Premium,Social Media
C000003,Beth,Day,smithmelissa@example.org,626.665.6178,"0571 Michael Mountain Suite 746, Arnoldfurt, DC 35124",Christopherview,Pennsylvania,United Arab Emirates,74036,2023-12-10,Premium,Paid Search
C000004,Charles,Holmes,anthonykoch@example.net,4787847607,"52054 Morgan Islands, South Danfurt, AL 69000",South Toddchester,Florida,Kuwait,39506,2024-03-18,Premium,Organic
C000005,Nicholas,Oneal,joneskristin@example.org,(662)700-2687,"7655 Lauren Spurs, Chelseabury, TN 83971",Hannahland,Delaware,Honduras,60121,2024-09-10,Basic,Referral
C000006,Richard,Dominguez,robert27@example.com,(781)227-9929,"50941 Barry Wall Suite 771, West Scottfort, LA 23609",Morrisside,Nevada,North Macedonia,03437,2023-09-18,Premium,Referral
C000007,Bradley,Hall,davidsonbrenda@example.net,5897970526,"9322 Jamie Drive Apt. 072, South Micheal, GA 11629",Port Katherine,Maryland,Saint Martin,84784,2025-02-21,Standard,Organic
C000008,Mercedes,Travis,justinkoch@example.net,924.765.5815,"891 Lauren Spurs, Barrytown, NY 21766",Port Luketon,Nevada,Korea,16028,2024-02-13,Premium,Organic
C000009,David,Young,mlopez@example.org,001-725-445-1131,"6754 Erik Track, Sarahstad, TN 29967",East Judy,Kentucky,Turks and Caicos Islands,27757,2025-03-04,Premium,Paid Search
C000010,Sherry,Burke,ndiaz@example.net,397.755.9191x83231,"00540 John Mill, New Nancy, IN 22508",Smithchester,Idaho,Lithuania,35495,2024-10-01,Basic,Referral
C000011,David,Hughes,megan05@example.com,(880)824-2068x5502,"USCGC Meyer, FPO AA 90132",Nicholasfort,Colorado,Sudan,68810,2023-09-19,Premium,Referral
C000012,David,Murray,dstrickland@example.net,001-590-714-1299,"809 Stephanie Ville Suite 818, Rodriguezshire, MI 17536",New Gabriel,Alabama,Finland,67940,2024-06-17,Premium,Referral
C000013,Stacey,Parker,kenneth95@example.com,8182853031,"971 Kathy Grove, Johnsonmouth, SD 14643",Port Christine,South Carolina,Greece,35602,2024-06-14,Standard,Paid Search
C000014,Molly,Jackson,shawn48@example.com,001-871-776-0395x911,"USNV Harris, FPO AE 07749",East Latashafort,Hawaii,Suriname,81713,2025-05-07,Standard,Referral
C000015,Dustin,Navarro,weberjessica@example.com,754-480-4275,"8800 Thomas Loop, Lake Saraborough, FM 70407",Teresamouth,Delaware,Holy See (Vatican City State),56156,2025-03-11,Standard,Organic
C000016,Alicia,Mitchell,bentleyalyssa@example.com,312-812-9020,"961 Mark Turnpike, New Melinda, ME 07962",Jessicaberg,Delaware,Somalia,86892,2025-02-04,Premium,Email
C000017,Alexa,Phillips,adiaz@example.org,(498)319-7600,"03965 Duke Divide, West Kathleenhaven, NJ 12530",Jennymouth,Colorado,Bosnia and Herzegovina,00913,2024-07-18,Standard,Social Media
C000018,Nathan,Johnson,daniellejohnson@example.net,568.608.7681,"389 Jennifer Mountains, Rayshire, OR 37167",Matthewhaven,Kentucky,South Africa,57817,2024-05-19,Premium,Paid Search
